feature,importance
Curricular units 2nd sem (approved),0.25251653536010715
Tuition fees up to date,0.029694747781624096
Course,0.008701021550841166
Curricular units 1st sem (enrolled),0.008134431933693074
GDP,0.006209930686226661
Debtor,0.006162303436191031
Curricular units 1st sem (approved),0.005154374610499264
Curricular units 1st sem (grade),0.004463147833422324
Curricular units 1st sem (evaluations),0.00444764590912342
Inflation rate,0.003775321728441718
Previous qualification (grade),0.0037351732740552273
Mother's occupation,0.003573793681660569
Mother's qualification,0.0031115969904954416
Application mode,0.003004315889901656
Father's qualification,0.002432300253123909
Curricular units 2nd sem (grade),0.0006616097674387866
Age at enrollment,0.0006486756791814287
Curricular units 2nd sem (credited),0.0003820367144255567
Previous qualification,0.00037683594016027895
Marital status,0.0
Educational special needs,0.0
International,0.0
Nacionality,0.0
Daytime/evening attendance	,0.0
Curricular units 1st sem (without evaluations),-0.00037510733493016445
Scholarship holder,-0.0004429929696731901
Unemployment rate,-0.0008479479731941282
Curricular units 1st sem (credited),-0.0013101587072849189
Curricular units 2nd sem (without evaluations),-0.0019704433497536034
Gender,-0.0027265143259388286
Application order,-0.003086119149718458
Displaced,-0.00533570006521319
Curricular units 2nd sem (enrolled),-0.0064092703939782215
Admission grade,-0.006698377529143104
Curricular units 2nd sem (evaluations),-0.006707526762712516
Father's occupation,-0.009083110954313942
